"zipcode","COVID_Week_20220416","COVID_Week_20220409","COVID_Week_20220402","COVID_Week_20220326","COVID_Week_20220319","COVID_Week_20220312","COVID_Week_20220305","COVID_Week_20220226","COVID_Week_20220219","COVID_Week_20220212","COVID_Week_20220205","COVID_Week_20220129","COVID_Week_20220122","COVID_Week_20220115","COVID_Week_20220108","COVID_Week_20220101","COVID_Week_20211225","COVID_Week_20211218","COVID_Week_20211211","COVID_Week_20211204","COVID_Week_20211127","COVID_Week_20211120","COVID_Week_20211113","COVID_Week_20211106","COVID_Week_20211030","COVID_Week_20211023","COVID_Week_20211016","COVID_Week_20211009","COVID_Week_20211002","COVID_Week_20210925","COVID_Week_20210918","COVID_Week_20210911","COVID_Week_20210904","COVID_Week_20210828","COVID_Week_20210821","COVID_Week_20210814","COVID_Week_20210807","COVID_Week_20210731","COVID_Week_20210724","COVID_Week_20210717","COVID_Week_20210710","COVID_Week_20210703","COVID_Week_20210626","COVID_Week_20210619","COVID_Week_20210612","COVID_Week_20210605","COVID_Week_20210529","COVID_Week_20210522","COVID_Week_20210515","COVID_Week_20210508","COVID_Week_20210501","COVID_Week_20210424","COVID_Week_20210417","COVID_Week_20210410","COVID_Week_20210403","COVID_Week_20210327","COVID_Week_20210320","COVID_Week_20210313","COVID_Week_20210306","COVID_Week_20210227","COVID_Week_20210220","COVID_Week_20210213","COVID_Week_20210206","COVID_Week_20210130","COVID_Week_20210123","COVID_Week_20210116","COVID_Week_20210109","COVID_Week_20210102","COVID_Week_20201226","COVID_Week_20201219","COVID_Week_20201212"
"60621",34.4,17.2,27.5,3.4,27.5,44.8,17.2,103.3,65.4,93,134.3,172.2,268.6,692.1,1280.9,1780.2,1404.9,884.9,292.7,309.9,130.8,199.7,296.1,168.7,106.7,65.4,103.3,68.9,117.1,148.1,158.4,96.4,144.6,223.8,130.8,99.9,113.6,103.3,44.8,13.8,17.2,0,3.4,3.4,3.4,17.2,62,117.1,106.7,120.5,175.6,165.3,165.3,199.7,96.4,96.4,62,65.4,68.9,24.1,27.5,55.1,65.4,99.9,220.4,213.5,234.1,182.5,161.8,182.5,389.1
"60622",233,193.2,178.1,136.4,58.7,47.4,51.1,47.4,83.3,121.2,197,316.3,431.9,812.6,1454.7,1598.7,1678.3,971.7,318.2,272.8,183.7,215.9,204.6,155.3,90.9,89,125,92.8,104.2,94.7,100.4,138.3,140.2,170.5,172.4,164.8,125,90.9,81.5,28.4,24.6,15.2,1.9,0,20.8,5.7,13.3,32.2,43.6,70.1,102.3,111.8,153.4,193.2,234.9,219.7,151.5,108,87.1,100.4,70.1,89,132.6,161,166.7,272.8,378.8,359.9,240.6,272.8,382.6
"60623",41.9,31.4,31.4,15.1,17.4,8.1,25.6,30.2,37.2,58.2,109.3,216.3,514.1,959.5,1872.6,1879.5,1149.1,511.8,231.5,212.8,96.5,101.2,91.9,80.3,90.7,62.8,47.7,57,67.5,46.5,68.6,126.8,116.3,111.7,91.9,84.9,59.3,34.9,19.8,10.5,22.1,4.7,7,9.3,14,18.6,38.4,54.7,90.7,109.3,139.6,107,132.6,123.3,81.4,69.8,39.5,43,57,59.3,50,68.6,117.5,159.3,196.6,230.3,331.5,275.6,209.4,388.5,461.7
"60624",27.7,16.6,16.6,24.9,16.6,16.6,11.1,24.9,44.3,47,47,204.7,301.5,542.1,1620.7,1822.6,1703.6,813.1,309.8,309.8,163.2,138.3,88.5,105.1,127.2,107.9,83,107.9,99.6,71.9,135.5,177,116.2,118.9,91.3,130,83,58.1,52.5,33.2,13.8,8.3,5.5,2.8,22.1,36,77.4,74.7,113.4,196.4,121.7,193.6,221.3,201.9,113.4,118.9,85.7,99.6,96.8,77.4,69.1,80.2,77.4,83,143.8,201.9,210.2,201.9,201.9,279.3,318
"60625",171.6,141.3,116.1,77,55.5,51.7,51.7,69.4,99.7,151.4,188,307.9,547.7,926.3,1539.6,1751.6,1190,490.9,275.1,241,112.3,152.7,122.4,95.9,107.3,87.1,95.9,85.8,111.1,114.8,146.4,109.8,117.4,147.6,167.8,141.3,179.2,88.3,66.9,40.4,40.4,27.8,11.4,8.8,16.4,12.6,25.2,39.1,34.1,74.5,87.1,80.8,126.2,171.6,169.1,138.8,90.9,79.5,88.3,61.8,71.9,93.4,109.8,148.9,155.2,184.2,246.1,253.7,237.2,310.4,363.4
"60626",142.8,156.8,104.6,70.4,38.2,30.2,40.2,58.3,100.5,120.7,168.9,261.4,599.2,1035.6,1743.4,1592.6,969.2,432.3,185,197.1,84.5,110.6,100.5,82.4,62.3,74.4,40.2,70.4,82.4,74.4,94.5,144.8,70.4,104.6,100.5,90.5,84.5,66.4,30.2,26.1,8,14.1,16.1,4,6,14.1,16.1,40.2,50.3,50.3,96.5,86.5,110.6,181,174.9,100.5,112.6,72.4,92.5,46.2,52.3,72.4,96.5,110.6,183,271.5,305.7,295.6,213.2,267.4,269.5
"60628",48,21,18,24,18,42,30,31.5,42,54,58.4,127.4,266.8,635.5,1314.4,1945.3,1486.7,876.7,314.7,296.7,161.9,170.9,146.9,101.9,88.4,65.9,83.9,98.9,89.9,85.4,157.4,152.9,142.4,151.4,112.4,121.4,133.4,92.9,61.4,27,9,21,25.5,21,27,30,79.4,103.4,140.9,163.4,218.8,178.3,184.3,193.3,145.4,95.9,91.4,46.5,30,62.9,68.9,62.9,79.4,118.4,124.4,161.9,200.8,187.3,139.4,178.3,251.8
"60629",29.5,27.7,18.8,17,20.6,21.5,16.1,31.3,56.3,103.7,133.2,225.3,485.5,957.5,1769.3,1979.4,939.7,449.7,203,219.9,118,158.2,89.4,81.4,58.1,59,58.1,69.7,67.9,78.7,111.8,103.7,134.1,117.1,89.4,85.8,99.2,66.2,43.8,25.9,8.9,7.2,5.4,9.8,13.4,18.8,32.2,72.4,94.8,108.2,141.3,121.6,130.5,147.5,124.3,104.6,79.6,87.6,67.9,86.7,87.6,84,118,183.3,260.2,349.6,455.1,439,288.8,474.7,609.7
"60630",139.5,134.3,76.7,101.1,75,24.4,29.6,61,73.2,122.1,204,368,622.6,1058.5,1876.4,1879.9,960.9,495.3,272,247.6,177.9,141.3,109.9,73.2,82,45.3,90.7,102.9,109.9,68,136,111.6,136,143,130.8,115.1,111.6,68,38.4,31.4,14,19.2,14,7,19.2,20.9,24.4,47.1,57.5,69.8,122.1,179.6,190.1,235.4,197.1,160.4,99.4,92.4,102.9,108.1,68,106.4,155.2,179.6,235.4,317.4,312.2,291.2,284.2,390.6,387.1
"60631",125.3,125.3,111.8,81.3,47.4,13.5,67.7,57.6,84.7,111.8,281.1,392.8,731.5,1246.2,2069.2,1584.9,1334.3,795.8,403,386.1,318.3,386.1,223.5,132.1,91.4,142.2,135.5,118.5,121.9,108.4,128.7,128.7,189.6,142.2,135.5,149,128.7,44,50.8,13.5,10.2,13.5,0,6.8,10.2,10.2,33.9,44,71.1,105,81.3,118.5,230.3,247.2,301.4,206.6,101.6,118.5,71.1,135.5,67.7,118.5,94.8,240.4,257.4,369.1,406.4,372.5,362.4,365.7,321.7
"60632",26.4,29.7,29.7,11,14.3,19.8,24.2,26.4,56,94.5,137.3,252.6,539.3,961.1,1678.4,1697.1,670,305.4,192.2,235.1,115.3,108.7,94.5,79.1,51.6,40.6,47.2,58.2,49.4,64.8,76.9,75.8,81.3,92.3,83.5,86.8,58.2,39.5,11,17.6,6.6,3.3,8.8,7.7,8.8,22,23.1,35.1,62.6,87.9,109.8,139.5,120.8,117.5,124.1,120.8,71.4,70.3,58.2,68.1,54.9,82.4,120.8,204.3,236.2,292.2,404.2,428.4,305.4,420.7,638.2
"60633",69.9,38.8,7.8,38.8,15.5,15.5,7.8,62.2,69.9,62.2,139.8,194.2,334.1,613.8,1219.8,1864.7,1041.1,637.1,341.9,209.8,194.2,163.2,147.6,124.3,54.4,62.2,69.9,225.3,108.8,132.1,54.4,69.9,62.2,108.8,116.5,54.4,54.4,54.4,0,15.5,0,23.3,0,38.8,31.1,46.6,15.5,116.5,62.2,101,147.6,54.4,139.8,202,46.6,31.1,38.8,62.2,46.6,77.7,77.7,69.9,101,101,155.4,271.9,264.2,271.9,108.8,240.9,404
"60634",80.3,96.1,38.2,48.7,43.4,26.3,55.3,65.8,97.4,122.4,155.3,330.3,656.6,971.1,1933,1940.9,1050.1,611.9,375,332.9,194.7,272.4,163.2,167.1,113.2,97.4,102.6,135.5,132.9,72.4,130.3,148.7,151.3,167.1,143.4,169.7,131.6,82.9,36.8,15.8,14.5,5.3,6.6,14.5,23.7,14.5,39.5,82.9,64.5,106.6,143.4,173.7,151.3,231.6,186.9,144.7,152.6,113.2,119.7,134.2,114.5,159.2,179,226.3,273.7,322.4,447.4,459.2,407.9,485.6,632.9
"60636",21.7,24.8,15.5,24.8,12.4,18.6,12.4,37.3,74.5,80.7,99.4,167.7,338.5,720.4,1490.5,1925.3,1307.3,720.4,372.6,319.8,167.7,186.3,139.7,149.1,90.1,102.5,52.8,96.3,114.9,102.5,145.9,136.6,167.7,204.9,121.1,86.9,108.7,55.9,34.2,27.9,12.4,18.6,9.3,6.2,31.1,27.9,59,136.6,161.5,285.7,229.8,183.2,220.5,236,161.5,102.5,71.4,62.1,37.3,43.5,46.6,90.1,86.9,136.6,164.6,170.8,285.7,214.3,232.9,335.4,437.8
"60637",284.5,164.4,88.5,69.5,33.7,35.8,42.1,137,280.3,246.6,198.1,233.9,339.3,724.9,1574.2,1616.3,1409.8,923,316.1,250.8,103.3,139.1,168.6,122.2,94.8,94.8,80.1,88.5,105.4,69.5,134.9,107.5,122.2,168.6,164.4,132.8,115.9,99,84.3,35.8,14.8,8.4,27.4,23.2,19,23.2,44.3,128.5,99,160.2,183.3,168.6,217.1,343.5,177,80.1,54.8,50.6,54.8,50.6,33.7,65.3,88.5,122.2,141.2,179.1,223.4,147.5,151.7,210.7,248.7
"60638",61.2,78.2,25.5,27.2,22.1,28.9,34,44.2,62.9,98.6,132.7,292.5,576.6,964.3,2119.2,2105.5,1046,494.9,312.9,316.3,209.2,171.8,200.7,161.6,85,83.3,61.2,62.9,61.2,114,100.3,124.2,148,129.3,103.7,171.8,108.8,78.2,35.7,13.6,13.6,6.8,8.5,10.2,18.7,15.3,34,71.4,79.9,102,129.3,137.8,144.6,192.2,159.9,131,57.8,78.2,73.1,62.9,69.7,91.8,105.4,158.2,251.7,323.1,428.6,443.9,261.9,370.8,544.2
"60639",56.3,49.7,33.1,22.1,28.7,24.3,24.3,37.6,77.3,88.4,106.1,249.7,527,1039.6,2156.5,2116.7,1066.1,462.9,296.1,291.7,121.5,179,140.3,120.4,96.1,56.3,79.5,63,96.1,71.8,109.4,101.6,128.2,159.1,117.1,109.4,85.1,69.6,26.5,14.4,9.9,7.7,11,16.6,14.4,21,47.5,67.4,51.9,102.7,120.4,162.4,190,194.4,132.6,127,92.8,84,59.7,84,100.5,85.1,162.4,228.7,244.2,343.6,514.8,478.4,378.9,543.5,713.7
"60640",200.8,173.6,146.3,90.4,81.8,64.5,67.4,83.2,90.4,107.6,143.4,262.5,469.1,912.3,1329.7,1377,1249.4,624,200.8,190.8,88.9,124.8,83.2,86.1,68.9,53.1,53.1,74.6,73.2,43,64.5,80.3,88.9,114.8,129.1,154.9,86.1,68.9,50.2,20.1,33,18.6,8.6,14.3,11.5,27.3,21.5,37.3,54.5,70.3,68.9,77.5,114.8,162.1,156.4,137.7,77.5,84.6,64.5,67.4,60.2,67.4,93.2,101.8,129.1,166.4,304.1,230.9,196.5,243.8,296.9
"60641",146.4,94.3,50.7,52.1,40.8,29.6,28.2,40.8,74.6,119.7,166.1,308.4,533.6,1043.3,1995.1,1972.6,929.3,502.7,252,259.1,135.2,125.3,145,139.4,97.2,87.3,77.4,102.8,100,88.7,136.6,133.8,109.8,126.7,150.7,111.2,78.8,83.1,46.5,36.6,19.7,12.7,7,8.4,22.5,21.1,35.2,62,70.4,105.6,102.8,121.1,166.1,226.7,142.2,118.3,69,102.8,83.1,153.5,142.2,112.6,143.6,181.6,249.2,360.4,359,343.6,325.2,468.9,588.5
